Unnamed: 0	Exam	Mode	SubModeIndex	BeamStyleIndex	TxFreqIndex	TxFrequency	ElevAperIndex	NumTxCycles	TxpgWaveformStyle	TxChannelModulationEn	RLE	IsCPAEn	VTxIndex	ProbeName	ProbeID	Software_version	CurrentState	Dual_Mode	IsProcessed
1	Abdomen	B	0	0	5	1538500	0	2	1	1	-1	0	1	5C1	11291794	test	B	1	1
2	Abdomen	B	0	0	8	2000000	0	1	1	1	-1	0	1	5C1	11291794	test	B	1	1
3	Abdomen	B	0	0	10	2500000	0	1	1	1	-1	0	1	5C1	11291794	test	B	1	1
4	Abdomen	B	0	0	13	3076900	0	1	1	1	-1	0	1	5C1	11291794	test	B	1	1
5	Abdomen	B	0	0	15	3636400	0	1.5	2	1	-1	0	1	5C1	11291794	test	B	1	1
6	Abdomen	B	0	0	17	4000000	0	1.5	2	1	-1	0	1	5C1	11291794	test	B	1	1
7	Abdomen	B	0	0	20	4705900	0	1	2	1	-1	0	1	5C1	11291794	test	B	1	1
8	Abdomen	B	1	1	5	1538500	0	2	1	0	-1	0	1	5C1	11291794	test	B	1	1
9	Abdomen	B	1	1	7	1818200	0	1.5	1	0	-1	0	1	5C1	11291794	test	B	1	1
10	Abdomen	B	1	1	8	2000000	0	1	1	0	-1	0	1	5C1	11291794	test	B	1	1
11	Abdomen	B	1	1	10	2500000	0	1	1	0	-1	0	1	5C1	11291794	test	B	1	1
12	Abdomen	B	1	1	13	3076900	0	1.5	1	0	-1	0	1	5C1	11291794	test	B	1	1
13	Abdomen	Cb	0	5	8	2000000	0	4	1	0	-1	0	0	5C1	11291794	test	Cb	2	1
14	Abdomen	Cb	0	5	10	2500000	0	4	1	0	-1	0	0	5C1	11291794	test	Cb	2	1
15	Abdomen	Cb	0	5	11	2666700	0	4	1	0	-1	0	0	5C1	11291794	test	Cb	2	1
16	Abdomen	Cb	0	5	13	3076900	0	4	1	0	-1	0	0	5C1	11291794	test	Cb	2	1
17	Abdomen	Cb	0	5	14	3333300	0	4	1	0	-1	0	0	5C1	11291794	test	Cb	2	1
18	Abdomen	Cb	0	5	15	3636400	0	4	1	0	-1	0	0	5C1	11291794	test	Cb	2	1
19	Abdomen	D	0	10	8	2000000	0	4	1	0	-1	0	0	5C1	11291794	test	D	1	1
20	Abdomen	D	0	10	10	2500000	0	4	1	0	-1	0	0	5C1	11291794	test	D	1	1
21	Abdomen	D	0	10	11	2666700	0	4	1	0	-1	0	0	5C1	11291794	test	D	1	1
22	Abdomen	D	0	10	13	3076900	0	4	1	0	-1	0	0	5C1	11291794	test	D	1	1
23	Abdomen	D	0	10	14	3333300	0	4	1	0	-1	0	0	5C1	11291794	test	D	1	1
24	Abdomen	D	0	10	15	3636400	0	4	1	0	-1	0	0	5C1	11291794	test	D	1	1
25	Abdomen	M	0	15	5	1538500	0	2	1	1	-1	0	1	5C1	11291794	test	M	1	1
26	Abdomen	M	0	15	8	2000000	0	1	1	1	-1	0	1	5C1	11291794	test	M	1	1
27	Abdomen	M	0	15	10	2500000	0	1	1	1	-1	0	1	5C1	11291794	test	M	1	1
28	Abdomen	M	0	15	13	3076900	0	1	1	1	-1	0	1	5C1	11291794	test	M	1	1
29	Abdomen	M	0	15	15	3636400	0	1.5	2	1	-1	0	1	5C1	11291794	test	M	1	1
30	Abdomen	M	0	15	17	4000000	0	1.5	2	1	-1	0	1	5C1	11291794	test	M	1	1
31	Abdomen	M	0	15	20	4705900	0	1	2	1	-1	0	1	5C1	11291794	test	M	1	1
32	Abdomen	M	1	20	5	1538500	0	2	1	0	-1	0	1	5C1	11291794	test	M	1	1
33	Abdomen	M	1	20	7	1818200	0	1.5	1	0	-1	0	1	5C1	11291794	test	M	1	1
34	Abdomen	M	1	20	8	2000000	0	1	1	0	-1	0	1	5C1	11291794	test	M	1	1
35	Abdomen	M	1	20	10	2500000	0	1	1	0	-1	0	1	5C1	11291794	test	M	1	1
36	Abdomen	M	1	20	13	3076900	0	1.5	1	0	-1	0	1	5C1	11291794	test	M	1	1
